participant_Id,no_of_days,tot_very_active_minutes,tot_lightly_active_minutes,tot_fairly_active_minutes,tot_sedentary_minutes,average_daily_steps,average_daily_distance,average_active_distance,average_moderatetlyactive_distance,average_lightactive_distance,average_sedentaryactive_distance,average_calories_burnt,type_of_days
1503960366,31,1200,6818,594,26293,12116.741935483873,7.8096773855147843,2.8583871126174931,0.794193540369311,4.1529032414959328,0.0,1816.4193548387095,> 30
1624580081,31,269,4758,180,38990,5743.9032258064517,3.9148387293661782,0.93935484270895542,0.36064516200173274,2.6067741801661826,0.0061290321210699748,1483.3548387096776,> 30
1644430081,30,287,5354,641,34856,7282.9666666666672,5.2953333536783864,0.73000000094374029,0.95100000190238143,3.6090000212192543,0.0039999999105930339,2811.3,> 30
1844505072,31,4,3579,40,37405,2580.0645161290327,1.7061290368437776,0.0083870967068979691,0.049032256487877159,1.647419338505115,0.0,1573.4838709677417,> 30
1927972279,31,41,1196,24,40840,916.1290322580644,0.63451612308140759,0.095806450853424832,0.031290322962787824,0.50709676862724429,0.0,2172.8064516129034,> 30
2022484408,31,1125,7981,600,34490,11370.645161290324,8.0841934911666353,2.4216128837677728,0.72000000313405,4.9425806383932791,0.0,2509.9677419354839,> 30
2026352035,31,3,7956,8,21372,5566.8709677419347,3.454838715253338,0.00612903218115529,0.01129032238837213,3.4361290402950773,0.0,1540.6451612903224,> 30
2320127002,31,42,6144,80,37823,4716.8709677419338,3.1877419044894566,0.10677419302444308,0.097741934560960322,2.9803225667245936,0.0,1724.1612903225805,> 30
2347167796,18,243,4545,370,12369,9519.6666666666661,6.355555535915002,1.0594444330781696,1.0749999913904402,4.2216667084851212,0.0,2043.4444444444443,10 - 20
2873212765,31,437,9548,190,34013,7555.7741935483873,5.1016128601566448,0.67612903096502841,0.27612903233497377,4.1435484136304552,0.005161290207216819,1916.9677419354837,> 30
3372868164,20,183,6558,82,21551,6861.6499999999987,4.7070000410079968,0.62949999719858118,0.15299999844282861,3.9099999666213989,0.010999999754130846,1933.0999999999995,20 - 30
3977333714,30,567,5243,1838,21226,10984.566666666666,7.5169999440511077,1.6149999824663,2.7509999791781117,3.1343333443005879,0.0,1513.666666666667,> 30
4020332650,31,161,2385,166,38355,2267.2258064516122,1.6261290389323431,0.14225806103598679,0.12967741681683448,1.3083870819499419,0.0054838709653385219,2385.8064516129034,> 30
4057192912,4,3,412,6,4869,3838.0,2.86250001192093,0.052499998360872241,0.064999997615814251,2.6875000000000004,0.0,1973.75,< 10
4319703577,31,111,7092,382,22810,7268.8387096774195,4.8922580470361039,0.27806451628285078,0.50225806476608392,3.7687096383662948,0.0,2037.6774193548383,> 30
4388161847,31,718,7110,631,25937,10813.935483870966,8.39322589289757,1.7193548346479093,0.901935477891276,5.3961290467169976,0.0,3093.8709677419356,> 30
4445114986,31,205,6482,54,25727,4796.5483870967746,3.2458064402303384,0.52322581097964316,0.0754838703019965,2.644838709985057,0.0,2186.1935483870966,> 30
4558609924,31,322,8834,425,33902,7685.1290322580644,5.0806451766721672,0.54935483898847282,0.68225806615045026,3.8477419460973428,0.0,2033.258064516129,> 30
4702921684,31,159,7362,807,23759,8572.0645161290322,6.9551612830931147,0.41741935476180081,1.304838709292873,5.2254839212663722,0.0,2965.5483870967741,> 30
5553957443,31,726,6392,403,20719,8612.58064516129,5.6396774495801605,1.4641935488870066,0.66903226317897968,3.5045160958843833,0.0,1875.6774193548385,> 30
5577150313,30,2620,4438,895,22633,8304.4333333333288,6.2133333047231032,3.1136666556199382,0.65800000478824,2.4279999891916919,0.0,3359.6333333333328,> 30
6117666160,28,44,8074,57,22296,7046.7142857142844,5.342142914022717,0.12821428477764124,0.083928572280066324,4.8432142989976059,0.0,2261.1428571428569,20 - 30
6290855005,29,80,6596,110,34598,5649.5517241379312,4.2724138046133096,0.085517242037016911,0.12827586305552516,4.0486207090575128,0.0086206894624849852,2599.6206896551716,20 - 30
6775888955,26,286,1044,385,33785,2519.6923076923072,1.813461516124125,0.70923076670330276,0.384230769597567,0.711538465765233,0.0,2131.7692307692309,20 - 30
6962181067,31,707,7620,574,20532,9794.8064516129034,6.585806477454403,1.6164516191328722,0.95999999344348852,4.001612924760388,0.0067741935772280618,1982.0322580645163,> 30
7007744171,26,807,7299,423,27439,11323.423076923076,8.0153845915427571,2.4149999870703764,0.73846152997933867,4.86153844686655,0.0007692307520371232,2544.0000000000005,20 - 30
7086361926,31,1320,4459,786,26364,9371.7741935483828,6.3880645078156268,2.7812903254262853,0.77322580473076941,2.81870966218412,0.0,2566.354838709678,> 30
8053475328,31,2640,4680,297,35588,14763.290322580646,11.475161198646791,8.5148387416716567,0.42387096475689617,2.5338709546673694,0.0,2945.8064516129039,> 30
8253242879,19,390,2221,272,24460,6482.1578947368416,4.6673684684853809,2.2142104898628436,0.69578947675855485,1.7547368454305745,0.00052631577770960946,1788.0,10 - 20
8378563200,31,1819,4839,318,22200,8717.709677419356,6.9135484618525309,2.5035484019787071,0.51903225481510151,3.8893548211743765,0.0,3436.5806451612907,> 30
8583815059,31,300,4287,688,39284,7198.5161290322576,5.6154838223611181,0.79806452580998055,1.0206451528976039,2.6174193466863329,0.0,2732.0322580645166,> 30
8792009665,29,28,2662,117,30754,1853.7241379310346,1.1865517168209476,0.024827586551164741,0.058275862629043676,1.1034482707237376,0.0,1962.3103448275863,20 - 30
8877689391,31,2048,7276,308,34499,16040.032258064515,13.212903138129944,6.6374193623421611,0.33774193484456283,6.188709674342987,0.0051612903273874754,3420.2580645161288,> 30