participant_Id,no_of_sleepdays_recorded,average_minutes_asleep,average_total_time_bed,time_diff,time_in_bed,type_of_days
1503960366,25,360.28,383.2,22.920000000000016,20 - 30,20 - 30
1644430081,4,294.0,346.0,52.0,> 30,< 10
1844505072,3,652.0,961.0,309.0,> 30,< 10
1927972279,5,417.0,437.8,20.800000000000011,20 - 30,< 10
2026352035,28,506.17857142857139,537.64285714285722,31.464285714285836,> 30,20 - 30
2320127002,1,61.0,69.0,8.0,< 10,< 10
2347167796,15,446.8,491.33333333333337,44.53333333333336,> 30,10 - 20
3977333714,28,293.64285714285717,461.14285714285717,167.5,> 30,20 - 30
4020332650,8,349.375,379.75,30.375,> 30,< 10
4319703577,26,476.65384615384625,501.9615384615384,25.30769230769215,20 - 30,20 - 30
4388161847,23,400.17391304347825,423.21739130434793,23.043478260869676,20 - 30,20 - 30
4445114986,28,385.17857142857144,416.82142857142867,31.642857142857224,> 30,20 - 30
4558609924,5,127.6,140.0,12.400000000000006,10 - 20,< 10
4702921684,27,417.48148148148152,438.22222222222223,20.740740740740705,20 - 30,20 - 30
5553957443,31,463.48387096774189,505.87096774193543,42.387096774193537,> 30,> 30
5577150313,26,432.0,460.61538461538464,28.615384615384642,20 - 30,20 - 30
6117666160,18,478.77777777777771,510.16666666666669,31.388888888888971,> 30,10 - 20
6775888955,3,349.66666666666669,369.0,19.333333333333314,10 - 20,< 10
6962181067,31,448.0,466.12903225806451,18.129032258064512,10 - 20,> 30
7007744171,2,68.5,71.5,3.0,< 10,< 10
7086361926,24,453.125,466.41666666666669,13.291666666666686,10 - 20,20 - 30
8053475328,3,297.0,301.66666666666669,4.6666666666666856,< 10,< 10
8378563200,31,445.12903225806451,485.93548387096774,40.806451612903231,> 30,> 30
8792009665,15,435.66666666666674,453.80000000000007,18.133333333333326,10 - 20,10 - 20